end,assets,cash_eq,afs_debt,cash_liquid,cash_ratio_assets,ratio_qoq_pp,ratio_mom_pp_approx,equity_sec,cash_to_equity_sec
2022-03-31,969506000000,,21718000000.0,21718000000.0,0.022401099116457247,,,,
2022-06-30,909860000000,,21136000000.0,21136000000.0,0.02322994746444508,0.08288483479878331,0.027628278266261103,,
2022-09-30,902296000000,,18602000000.0,18602000000.0,0.02061629443109578,-0.26136530333492997,-0.08712176777830999,,
2022-12-31,948465000000,,25128000000.0,25128000000.0,0.02649333396593443,0.587703953483865,0.19590131782795497,,
2023-03-31,997072000000,,22566000000.0,22566000000.0,0.022632267278591717,-0.38610666873427135,-0.12870222291142377,,
2023-06-30,1041573000000,,22353000000.0,22353000000.0,0.02146080975601326,-0.1171457522578457,-0.039048584085948565,,
2023-09-30,1019933000000,,22435000000.0,22435000000.0,0.02199654291017155,0.053573315415829034,0.017857771805276344,,
2023-12-31,1069978000000,,23758000000.0,23758000000.0,0.022204194852604445,0.020765194243289528,0.006921731414429842,,
2024-03-31,1070035000000,,17167000000.0,17167000000.0,0.016043400449518005,-0.616079440308644,-0.20535981343621468,,
2024-06-30,1108860000000,,16802000000.0,16802000000.0,0.015152498962898832,-0.08909014866191733,-0.029696716220639113,,
2024-09-30,1147251000000,,16042000000.0,16042000000.0,0.01398299064459303,-0.11695083183058015,-0.038983610610193384,,
2024-12-31,1153881000000,,15364000000.0,15364000000.0,0.013315064551717205,-0.0667926092875826,-0.022264203095860868,,
2025-03-31,1164532000000,,15035000000.0,15035000000.0,0.012910765869894515,-0.040429868182268944,-0.013476622727422982,,
2025-06-30,1163968000000,,15084000000.0,15084000000.0,0.012959119151041953,0.004835328114743791,0.0016117760382479303,,
2025-09-30,1225963000000,,17943000000.0,17943000000.0,0.014635841375310673,0.16767222242687202,0.05589074080895734,,
2025-12-31,1222176000000,,17816000000.0,17816000000.0,0.014577278558898227,-0.005856281641244618,-0.0019520938804148725,,
